Station code,Date,SO2,NO2,O3,CO,PM10,PM2.5
101,2017-01-01,0.5260416666666666,0.7640845070422536,0.04222972972972968,0.7862035440912826,0.8249158249158249,0.9629629629629631
101,2017-01-02,0.5989583333333328,0.6514084507042254,0.22128378378378377,0.8957117380025941,0.878314393939394,0.9402701882210079
101,2017-01-03,0.6041666666666662,0.6584507042253521,0.1875,0.766618028534371,0.6770307239057239,0.7268897996357012
101,2017-01-04,0.6718749999999979,0.7975352112676056,0.1182432432432432,0.8103112840466927,0.5164141414141414,0.5724043715846995
101,2017-01-05,0.5416666666666666,0.5821596244131456,0.14864864864864866,0.560068093385214,0.3522727272727273,0.35997267759562845
101,2017-01-06,0.4583333333333333,0.5692488262910799,0.17286036036036037,0.5038910505836576,0.2011784511784512,0.17622950819672134
101,2017-01-07,0.578125,0.8036971830985916,0.054617117117117,0.828753242542153,0.5593434343434344,0.6721311475409837
101,2017-01-08,0.5052083333333334,0.49119718309859156,0.21677927927927923,0.5302772373540856,0.30723905723905726,0.3681693989071038
101,2017-01-09,0.5833333333333323,0.3092723004694836,0.38457207207207206,0.5938310635538262,0.5664983164983165,0.6557377049180328
101,2017-01-10,0.4583333333333328,0.2946009389671361,0.30236486486486486,0.36940661478599224,0.2958754208754209,0.25341530054644806
101,2017-01-11,0.4583333333333333,0.4225352112676057,0.21846846846846835,0.4011835278858625,0.22053872053872056,0.18101092896174864
101,2017-01-12,0.4739583333333333,0.40199530516431925,0.24943693693693691,0.42104409857328146,0.2676767676767677,0.2527322404371585
101,2017-01-13,0.40625,0.26408450704225356,0.3181306306306307,0.32968547341115434,0.2781986531986532,0.1912568306010929
101,2017-01-14,0.3958333333333333,0.17312206572769953,0.3417792792792793,0.29393644617380027,0.36784511784511786,0.15300546448087432
101,2017-01-15,0.3802083333333333,0.2992957746478873,0.24268018018018014,0.3852950713359274,0.24200336700336703,0.19057377049180327
101,2017-01-16,0.4739583333333333,0.6402582159624414,0.08840090090090091,0.6911478599221791,0.4238215488215489,0.430327868852459
101,2017-01-17,0.7083333333333323,0.8879107981220656,0.038851351351351295,0.8659208819714657,0.6414141414141414,0.8210382513661202
101,2017-01-18,0.6874999999999979,0.7168427230046946,0.08896396396396385,0.784492542153048,0.8783670033670035,0.9050546448087432
101,2017-01-19,0.6927083333333298,0.755868544600939,0.10078828828828817,0.8639348249027238,0.8994107744107745,0.8849043715846996
101,2017-01-20,0.5052083333333334,0.43251173708920193,0.2646396396396396,0.5441796368352788,0.5509259259259259,0.703551912568306
101,2017-01-21,0.4166666666666667,0.6326291079812206,0.10078828828828812,0.6732733463035019,0.5016835016835017,0.6362704918032788
101,2017-01-22,0.5677083333333334,0.17840375586854462,0.40822072072072074,0.38132295719844356,0.6035353535353536,0.43920765027322406
101,2017-01-23,0.5052083333333328,0.3174882629107981,0.30912162162162166,0.448848897535668,0.4368686868686869,0.5778688524590164
101,2017-01-24,0.453125,0.4870892018779343,0.22353603603603603,0.49254215304798965,0.33291245791245794,0.42896174863387976
101,2017-01-25,0.5729166666666666,0.7200704225352114,0.12837837837837837,0.6861827172503242,0.4915824915824916,0.64275956284153
101,2017-01-26,0.6197916666666651,0.8726525821596245,0.10754504504504493,0.8252067120622568,0.6569865319865321,0.8025956284153005
101,2017-01-27,0.3854166666666667,0.20363849765258216,0.3811936936936937,0.34557392996108943,0.5896464646464646,0.26263661202185795
101,2017-01-28,0.4114583333333333,0.5052816901408451,0.1683558558558558,0.4806258106355383,0.27946127946127947,0.17008196721311475
101,2017-01-29,0.375,0.57981220657277,0.08727477477477473,0.6395103761348898,0.2394781144781145,0.2540983606557377
101,2017-01-30,0.40625,0.20305164319248828,0.39076576576576577,0.42898832684824906,0.4444444444444445,0.4658469945355192
101,2017-01-31,0.4114583333333333,0.5381455399061034,0.1655405405405405,0.5044584954604411,0.26851851851851855,0.30532786885245905
101,2017-02-01,0.546875,0.4624413145539907,0.26576576576576577,0.5481517509727627,0.32491582491582494,0.3415300546448088
101,2017-02-02,0.484375,0.49295774647887325,0.2488738738738738,0.5004863813229572,0.289983164983165,0.2568306010928962
101,2017-02-03,0.6406249999999994,0.6854460093896714,0.26689189189189194,0.6434824902723736,0.6405723905723907,0.7684426229508197
101,2017-02-04,0.5729166666666666,0.9284037558685445,0.05686936936936926,0.9374189364461739,0.9005097268986159,0.9505785920925748
101,2017-02-05,0.4942434210526292,0.5964912280701752,0.1601766239924132,0.6637611782374223,0.5606035993462894,0.5962829264578998
101,2017-02-06,0.5005482456140323,0.3418890536199652,0.34601706970127993,0.39679329647074885,0.357068491936913,0.45996908254242164
101,2017-02-07,0.5260416666666666,0.6314553990610329,0.11711711711711702,0.5958171206225681,0.36574074074074076,0.398224043715847
101,2017-02-08,0.5729166666666666,0.6508215962441315,0.125,0.6792315175097277,0.4995791245791246,0.5556693989071039
101,2017-02-09,0.5,0.2564553990610329,0.35135135135135137,0.35749027237354086,0.43013468013468015,0.2848360655737705
101,2017-02-10,0.4427083333333333,0.22887323943661975,0.3648648648648649,0.3376297016861219,0.2895622895622896,0.2677595628415301
101,2017-02-11,0.4427083333333333,0.27288732394366194,0.3344594594594595,0.3614623865110247,0.27441077441077444,0.2650273224043716
101,2017-02-12,0.5052083333333334,0.39553990610328643,0.30236486486486486,0.448848897535668,0.27861952861952866,0.273224043715847
101,2017-02-13,0.6354166666666646,0.7893192488262911,0.10135135135135125,0.6990920881971466,0.4065656565656566,0.4870218579234973
